"","country","date","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k"
"4847","Nepal",2020-02-07,1,0,0,0,0,0,1,0,0,0
"5404","Philippines",2020-02-07,3,1,1,0,0,0,2,0,0,0
"5676","Republic of Korea",2020-02-07,24,1,0,0,1,1,23,0,0,0
"5767","Russia",2020-02-07,2,0,0,0,0,0,2,0,0,0
"6205","Singapore",2020-02-07,30,2,0,0,0,0,30,0.5,0,0.5
"6476","Spain",2020-02-07,1,0,0,0,0,0,1,0,0,0
"6547","Sri Lanka",2020-02-07,1,0,0,0,0,0,1,0,0,0
"6650","Sweden",2020-02-07,1,0,0,0,0,0,1,0,0,0
"6847","Taiwan",2020-02-07,16,0,0,0,1,0,15,0.1,0,0.1
"6918","Thailand",2020-02-07,25,0,0,0,5,0,20,0,0,0
"7243","UK",2020-02-07,3,1,0,0,0,0,3,0,0,0
"7394","United Arab Emirates",2020-02-07,5,0,0,0,0,0,5,0.1,0,0.1
"7499","USA",2020-02-07,11,0,0,0,0,0,11,0,0,0
"7653","Vietnam",2020-02-07,10,0,0,0,1,0,9,0,0,0
"365","Australia",2020-02-08,15,0,0,0,2,0,13,0.1,0,0.1
"707","Belgium",2020-02-08,1,0,0,0,0,0,1,0,0,0
"1136","Cambodia",2020-02-08,1,0,0,0,0,0,1,0,0,0
"1226","Canada",2020-02-08,7,0,0,0,0,0,7,0,0,0
"1775","Diamond Princess Cruise Ship",2020-02-08,61,0,0,0,0,0,61,NA,NA,NA
"2291","Finland",2020-02-08,1,0,0,0,0,0,1,0,0,0
"2329","France",2020-02-08,11,5,0,0,0,0,11,0,0,0
"2550","Germany",2020-02-08,13,0,0,0,0,0,13,0,0,0
"2927","Hong Kong",2020-02-08,26,1,1,0,0,0,25,0.3,0,0.3
"3117","India",2020-02-08,3,0,0,0,0,0,3,0,0,0
"3403","Italy",2020-02-08,3,0,0,0,0,0,3,0,0,0
"3496","Japan",2020-02-08,25,0,0,0,1,0,24,0,0,0
"4106","Macao",2020-02-08,10,0,0,0,1,0,9,1.5,0,1.4
"4230","Mainland China",2020-02-08,36778,2703,804,87,2595,597,33379,2.6,0.2,2.3
